Region,Profundidad_Pozo,Barriles_Diarios,Presion_Reservorio,Temperatura_Reservorio
Sur,2486,991,1829,53
Oeste,1039,432,2770,112
Norte,2560,1053,3566,89
Este,2418,1606,1975,58
Oeste,1954,349,4116,58
Oeste,1983,188,1954,75
Sur,1974,408,2262,53
Este,1037,885,1951,130
Este,3375,1572,1943,65
Norte,2274,1458,3202,64
Este,2199,1677,2204,148
Norte,2625,1353,4286,101
Este,1913,1710,3135,118
Sur,1453,532,4327,54
Este,1036,958,2534,69
Norte,2711,1184,2096,128
Norte,1795,915,3978,67
Este,1592,1045,3259,142
Este,2137,484,2828,62
Sur,2324,558,2257,53
Este,1317,1172,2774,123
Norte,3396,1837,4294,110
Este,3162,1923,3678,144
Sur,2346,1287,4335,116
Sur,2591,1834,2230,112
Oeste,2889,1737,3654,58
Norte,3087,811,1884,143
Este,2772,214,3413,148
Oeste,2312,1048,3323,91
Este,2285,1926,3427,62
Oeste,3383,1357,2332,62
Norte,3139,566,2654,61
Oeste,3400,706,4339,86
Norte,2704,1959,4135,101
Este,1362,113,4421,51
Este,2716,1190,2938,109
Norte,1355,316,2546,89
Oeste,1190,1895,4169,113
Norte,3469,1758,2969,134
Oeste,1699,1632,2094,72
Este,3054,1213,3411,78
Este,3180,295,3617,127
Este,1556,1734,2825,139
Sur,1825,1831,1762,100
Norte,1425,1590,3775,80
Norte,3410,1257,3975,69
Norte,2574,1093,1563,104
Sur,3129,607,1782,130
Oeste,3403,1067,3532,51
Oeste,1588,1597,4155,74
Sur,2985,196,3040,116
Sur,2247,715,2831,107
Este,2548,1377,1583,148
Oeste,2690,669,2319,131
Este,2256,869,3103,133
Oeste,3064,913,2942,113
Norte,3412,1175,2116,132
Este,1674,1660,1861,111
Sur,2007,1490,3615,65
Norte,2349,1289,2083,137
Este,2256,764,4120,104
Este,2247,753,4491,84
Sur,1993,810,1636,104
Oeste,2435,548,2036,63
Norte,3382,1538,3148,132
Norte,3084,1023,4157,56
Este,1277,131,4294,132
Sur,2219,653,2361,98
Este,1483,821,3430,100
Este,2265,952,2879,121
Oeste,3239,212,4447,141
Norte,1885,165,4446,112
Norte,1021,1922,3011,126
Sur,1473,386,4373,56
Oeste,3257,930,3143,76
Oeste,3353,786,4261,59
Sur,1703,1937,3500,83
Este,1686,889,3239,85
Este,1715,1648,2289,55
Norte,1762,1879,2447,73
Norte,2250,1396,4199,67
Norte,1947,492,3285,136
Oeste,3428,886,2943,55
Este,2030,992,2963,74
Norte,1028,1567,4183,104
Sur,1906,1774,2851,130
Oeste,3126,769,2366,73
Norte,1569,71,4318,147
Oeste,3006,1422,3782,77
Norte,2453,1799,1990,52
Este,1515,1908,1824,87
Sur,3000,1639,2462,110
Sur,3444,955,3153,127
Norte,1038,1883,3228,100
Oeste,1886,369,3231,139
Oeste,3204,326,1776,70
Sur,2098,1277,3837,103
Este,2823,1754,2112,143
Oeste,2710,1737,1687,108
Este,1973,1620,1529,121
Este,2562,745,4442,100
Este,1020,1376,2422,108
Sur,3350,1236,3153,120
Oeste,1868,68,2294,58
Norte,1083,1443,2998,50
Oeste,2682,313,3878,78
Sur,2976,843,2526,112
Sur,2410,162,1678,121
Este,1569,1400,3896,117
Este,1933,591,4103,84
Oeste,2980,696,3440,52
Norte,1792,1138,3707,76
Norte,1791,1365,4289,50
Este,2294,1622,4028,129
Oeste,3255,960,1844,93
Norte,2607,1622,2743,136
Este,2083,190,3248,90
Este,2680,1974,4499,82
Oeste,1519,237,4109,99
Este,1590,1201,2234,112
Sur,2050,250,3491,149
Este,2709,1200,2350,86
Este,3035,306,3808,108
Oeste,1348,243,4089,97
Este,1959,752,3959,54
Oeste,2963,1177,2462,97
Norte,1692,1608,2830,145
Sur,1526,1333,3877,63
Norte,3253,1431,2932,110
Oeste,2259,1428,1848,144
Norte,2875,1657,3032,66
Norte,2763,1844,2252,73
Sur,1520,959,2413,72
Este,2701,237,1978,131
Este,2016,1758,2612,99
Sur,2013,94,3235,128
Oeste,3433,1196,2630,76
Sur,1583,1601,4203,99
Oeste,1394,1139,3043,85
Norte,2087,985,2574,57
Norte,1273,211,3892,111
Sur,3013,1819,2695,96
Norte,2343,1453,4258,126
Oeste,1337,1729,3533,147
Sur,2389,1431,4262,137
Oeste,1606,1261,2445,145
Norte,1165,371,3167,110
Este,2324,1086,2757,62
Este,1728,233,2474,50
Norte,3043,557,2666,111
Este,1101,1363,2260,128
Este,2415,344,3805,127
Oeste,1778,1524,3785,142
Oeste,1213,953,1719,147
Oeste,2576,1023,3655,120
Oeste,3448,681,4068,142
Norte,2695,1100,3294,74
Oeste,2333,782,2853,63
Este,2109,1304,3232,57
Norte,3139,1638,3053,140
Oeste,1713,370,2567,51
Oeste,2951,1306,3953,127
Sur,3043,486,2791,105
Este,1001,830,1698,143
Oeste,3272,1606,4147,142
Norte,2768,1126,1826,134
Este,2949,1860,2822,110
Norte,3163,1354,2278,84
Sur,1089,232,4416,66
Sur,2709,1096,2150,129
Sur,3169,593,2960,107
Este,1142,1519,3334,51
Oeste,1105,1147,1765,53
Norte,1886,1083,1724,134
Norte,1427,1557,3809,88
Oeste,2328,1529,2619,147
Norte,1316,709,4477,130
Sur,2986,209,3435,138
Norte,1634,1955,1524,118
Oeste,3056,1251,3686,69
Este,1552,102,3547,86
Este,1715,457,3764,122
Oeste,2713,1095,2973,91
Norte,2883,1103,3979,106
Este,1110,1278,1910,149
Este,1250,1132,2996,135
Sur,3430,1544,4344,113
Sur,1458,1539,4129,71
Sur,2107,1085,2351,83
Sur,1207,1704,3033,104
Sur,1899,1363,2754,78
Norte,1409,1833,4350,146
Oeste,1808,1148,2799,114
Sur,1970,1634,2134,137
Norte,3134,1664,3746,53
Norte,2560,1040,4300,131
Oeste,2324,1314,2520,76
Oeste,3169,1934,2496,108
Norte,1749,1227,2724,81
Norte,1684,1859,4343,82
Oeste,2927,1169,1886,77
Norte,3356,1799,4073,104
Oeste,1694,343,3805,149
Este,3335,258,1721,109
Este,2989,1161,1912,111
Norte,1661,1849,1870,83
Norte,1311,374,3655,137
Oeste,2082,938,2756,62
Norte,2737,1230,2117,67
Sur,1754,717,4409,103
Norte,1034,1724,3828,126
Sur,1444,682,2194,92
Este,3140,626,3004,88
Oeste,2982,1692,3653,110
Norte,2230,1732,3708,91
Norte,1352,186,2647,130
Oeste,1902,1996,2590,128
Norte,2355,1747,3896,67
Sur,2748,1525,2490,103
Norte,1158,661,3675,79
Este,1956,960,2224,107
Oeste,3071,868,4251,117
Norte,1403,190,3761,116
Este,1515,226,3526,67
Norte,2387,673,3518,89
Este,1955,740,2715,135
Norte,3199,1494,3973,114
Oeste,1607,520,3355,101
Sur,3467,267,3696,78
Norte,2273,1998,2717,70
Este,2535,1901,4072,127
Sur,3382,681,3786,96
Este,2441,1000,2866,125
Oeste,1294,72,2288,105
Oeste,2394,1990,2806,119
Este,1185,284,3187,69
Sur,2269,1086,2504,137
Este,1636,1174,4308,76
Sur,2291,978,4021,87
Este,1529,1609,2016,121
Este,3068,1949,1952,114
Sur,1793,1525,2690,96
Norte,3147,480,4261,120
Norte,1477,1679,2344,135
Norte,2622,1786,3154,112
Este,1939,582,4303,106
Sur,1525,1925,4113,104
Este,1001,1796,1882,148
Sur,3340,1366,3662,79
Sur,1552,962,3910,71
Este,3365,1174,3320,124
Sur,2525,1575,2504,133
Norte,2851,1377,3463,78
Oeste,1380,920,3553,90
Norte,2646,589,1732,91
Oeste,1013,1073,2748,147
Norte,3008,1376,4478,79
Oeste,1129,1569,2591,67
Norte,3040,276,1945,63
Oeste,1027,1309,1613,136
Sur,3046,1086,1821,71
Oeste,2472,259,2735,116
Este,2447,790,2256,105
Este,1459,446,2968,68
Sur,3334,947,3186,147
Sur,1629,1601,3903,84
Oeste,1269,698,1816,50
Este,2993,1239,4186,134
Sur,2628,1532,2473,142
Este,2801,1895,2086,119
Sur,1861,1173,2874,114
Este,2280,670,1870,100
Sur,3180,1928,1667,50
Norte,2799,1246,3042,140
Sur,3360,1978,4218,65
Sur,1575,1801,3231,110
Oeste,3003,1336,2573,89
Sur,2307,1877,4190,75
Sur,3020,1101,4315,114
Norte,2655,1222,4289,113
Norte,2579,589,3224,92
Oeste,2847,537,4370,66
Oeste,2390,1511,3105,72
Oeste,2742,1138,2292,56
Este,2274,1325,4359,120
Oeste,1956,284,1976,128
Sur,2939,276,4176,83
Norte,3381,1598,2251,95
Oeste,1968,1386,2270,117
Sur,2316,167,2517,127
Este,2043,103,3130,65
Este,1281,1723,2209,120
Oeste,3166,1117,2378,68
Oeste,2058,1888,2773,51
Sur,2082,607,3042,130
Sur,2184,1750,1896,119
Sur,2008,1175,2961,71
Norte,2229,1843,3863,133
Este,1489,917,3656,103
Este,1275,447,3494,107
Sur,3289,724,1967,132
Norte,1125,160,3417,94
Sur,1216,663,3947,146
Sur,2246,1853,1922,72
Norte,1918,1609,3959,56
Norte,3431,458,4358,76
Sur,2661,789,3519,75
Sur,1307,1451,2398,146
Norte,2359,1261,3701,128
Este,2969,907,3796,85
Sur,1374,1925,3849,140
Sur,3033,168,2602,106
Oeste,2364,1229,2273,118
Norte,1128,833,3967,110
Oeste,2014,1760,3557,51
Norte,2799,514,3677,104
Norte,2381,1677,2096,129
Oeste,1516,747,2305,136
Norte,2518,1868,1915,87
Este,1085,1575,4431,129
Oeste,2198,1766,4081,127
Este,3358,1755,4282,78
Norte,2993,1807,2028,128
Este,3161,794,2218,116
Este,1302,1747,2977,136
Sur,1587,1207,3511,83
Oeste,1986,1464,4184,146
Norte,1344,1574,2186,90
Oeste,2999,805,4353,81
Norte,2677,1898,2710,80
Este,2327,1711,3209,131
Norte,2092,61,3398,92
Sur,2009,769,3899,50
Oeste,1574,422,2494,63
Norte,2608,533,4203,101
Oeste,1687,1720,2711,55
Norte,1488,506,2269,147
Oeste,1493,380,2601,149
Norte,2667,825,1669,70
Sur,1018,1032,4449,130
Este,2000,1577,1984,123
Sur,1850,1529,1851,112
Sur,2388,1118,2456,91
Sur,2354,1287,1627,100
Oeste,1821,693,2492,125
Sur,1454,665,3493,105
Oeste,2624,244,3044,129
Sur,1710,538,1883,81
Sur,3190,206,3341,64
Este,1916,659,2788,111
Norte,2496,1278,3925,130
Oeste,2440,1152,1947,113
Norte,1304,1197,1974,108
Norte,1735,520,2325,107
Oeste,3338,1291,4096,51
Oeste,2963,565,3836,85
Oeste,3149,1675,1983,120
Oeste,3009,1177,1888,62
Norte,1961,1718,3117,136
Oeste,2026,657,1874,71
Oeste,3132,1029,4183,112
Este,3375,483,4435,139
Oeste,2177,282,1660,92
Norte,1664,1602,1738,87
Norte,1011,1644,3773,90
Norte,2156,1163,1871,94
Este,1303,1565,2686,137
Este,1943,75,4313,137
Norte,3390,1098,3185,106
Sur,3411,1374,2008,111
Oeste,3474,316,3550,58
Norte,1020,1766,1572,130
Sur,2014,1141,2913,143
Sur,1335,1056,4308,89
Norte,2838,912,2716,107
Sur,3446,540,3596,134
Norte,1714,1760,2260,104
Sur,1050,613,1869,78
Norte,1788,265,4268,123
Sur,1140,1511,1584,66
Sur,1469,1773,2594,67
Sur,1786,1642,3799,91
Sur,2825,608,2537,133
Norte,1963,735,2723,66
Este,1372,1315,3866,122
Sur,2692,1826,2802,98
Sur,2179,54,3155,144
Norte,3338,1669,1843,53
Este,2671,1893,2625,131
Norte,1105,410,3764,69
Oeste,2443,508,1890,96
Norte,2681,1639,2982,126
Norte,1001,1746,1959,128
Oeste,3137,1996,2461,141
Sur,1349,1811,1731,68
Norte,2062,785,1605,101
Oeste,3206,1195,1614,138
Norte,1444,1631,3745,75
Este,3345,502,3004,95
Oeste,1951,1463,2719,141
Sur,2107,1647,1673,131
Norte,2475,647,2270,145
Este,2798,495,3590,102
Oeste,2845,259,2587,52
Oeste,2408,1663,3904,115
Este,2195,763,2611,146
Sur,2399,351,1896,91
Oeste,2708,1982,2462,68
Este,3188,1039,3158,98
Este,2243,1501,4262,98
Sur,2806,1308,3741,75
Norte,1009,669,2449,148
Sur,3425,1794,2358,101
Oeste,2656,1825,2232,149
Norte,3199,1596,3028,149
Este,1719,912,2231,65
Este,2072,1741,3055,73
Norte,1858,1565,3749,110
Oeste,2603,1754,2808,111
Norte,1049,321,1528,50
Norte,1145,609,1656,129
Oeste,2462,1905,1848,107
Este,1580,1163,1589,78
Oeste,2584,1066,3821,55
Sur,2249,1212,3413,69
Oeste,1630,1674,2262,120
Norte,1968,1333,2776,75
Norte,2100,932,2268,133
Oeste,1440,1644,3722,116
Norte,1920,174,2083,101
Norte,2826,668,1981,124
Sur,1262,1884,3617,51
Este,1998,979,2953,61
Sur,1699,1320,3073,139
Este,2603,1214,4076,82
Este,2241,411,1985,62
Este,3335,1425,1709,147
Sur,2190,544,3618,75
Oeste,2005,882,1753,77
Norte,1035,1500,3193,97
Sur,1743,1112,2411,149
Sur,2764,642,3832,89
Oeste,1352,236,2272,115
Norte,2922,1669,1525,122
Norte,1072,1673,2485,136
Este,2376,1927,3950,126
Sur,2914,142,3431,72
Norte,2093,135,1555,130
Oeste,3472,1117,3934,97
Sur,1707,186,4470,51
Sur,1955,1686,3798,95
Norte,3475,1229,3466,104
Norte,1159,1328,4408,61
Norte,3196,220,3466,89
Este,2735,219,2939,149
Oeste,2585,1837,2635,127
Oeste,1066,921,2698,65
Norte,1057,1640,3169,83
Oeste,2153,993,3091,55
Este,2195,839,2943,113
Oeste,3401,398,4398,61
Oeste,2494,1524,3410,101
Sur,2821,1949,2073,143
Oeste,1115,1726,2088,100
Este,1661,1246,3402,120
Este,2465,59,1799,145
Norte,3500,789,4235,97
Oeste,2868,1338,4212,68
Sur,3334,1511,3873,55
Este,2016,1833,2151,133
Este,1310,1320,3445,76
Sur,1207,716,2956,102
Sur,1632,1745,3045,118
Sur,2423,1826,2743,52
Oeste,2931,1908,1731,118
Sur,2679,453,2213,102
Oeste,1236,678,2411,86
Norte,1629,1684,2307,52
Norte,3003,1432,3284,119
Este,2271,1676,2217,66
Norte,1363,1931,2310,75
Este,3368,767,1770,70
Norte,1285,1090,1757,121
Sur,2107,734,1791,60
Oeste,2766,742,3206,137
Norte,1799,1164,3248,84
Oeste,2012,373,2580,63
Norte,2523,1842,3630,87
Oeste,1480,1950,3418,59
Oeste,3161,1701,2001,66
Norte,2601,1339,4384,111
Este,3408,364,4023,144
Norte,1340,1788,3845,50
Sur,3010,154,4301,53
Este,3496,1963,3929,62
Oeste,2866,1266,2220,147
Oeste,2203,1351,3780,135
Este,2689,1065,3619,131
Sur,2442,1653,4453,51
Este,1405,758,3220,61
Norte,3190,1329,3710,130
Sur,2339,873,3397,147
Este,1489,710,2975,57
Norte,1011,148,2657,100
Norte,1560,637,3541,60
Sur,1041,331,3667,112
Este,1593,452,4164,61
Oeste,2452,1182,3966,122
Este,2826,749,3053,51
Este,1133,1376,2641,60
Oeste,1947,376,4217,102
Oeste,1398,601,2447,59
Oeste,2428,1718,2913,134
Oeste,1129,181,2764,85
Oeste,2811,923,2235,125
Norte,3001,133,2029,63
Oeste,1265,1472,3671,103
Sur,2560,803,3423,134
Sur,3300,270,1834,99
Oeste,1163,1441,1810,69
Sur,1094,1220,2424,137
Oeste,2805,161,4167,136
Norte,2133,1631,1958,58
Norte,3383,973,2475,50
Oeste,1821,1567,3896,75
Oeste,1237,1578,1808,87
Este,3428,524,1978,87
Norte,2960,320,1725,135
Norte,2048,1970,3501,123
Norte,2676,756,4362,111
Oeste,1963,1356,3197,100
Oeste,1536,89,2903,87
Norte,2603,238,3806,73
Norte,2979,1237,1778,100
Sur,1127,1043,1972,59
Este,1091,1609,3810,121
Norte,1542,585,4049,70
Sur,1845,1077,2538,119
Sur,2681,1908,2416,134
Este,2851,339,4387,106
Oeste,3494,482,3123,88
Norte,1389,520,1598,137
Sur,1042,677,2553,67
Sur,1253,328,3160,105
Oeste,2083,926,3298,141
Este,3334,303,2814,125
Norte,2540,230,1713,97
Norte,2953,1903,2106,91
Oeste,3392,874,4246,123
Norte,1641,1582,2092,101
Sur,3429,1834,4118,91
Norte,1689,749,3931,81
Sur,2276,615,2279,75
Oeste,2950,1399,2750,74
Norte,2486,1898,3328,72
Este,1456,1723,3971,147
Norte,1982,729,3017,106
Sur,3130,440,4308,101
Este,2122,1688,4319,136
Norte,1148,1158,3415,142
Este,2179,261,4096,113
Este,1189,1588,2609,120
Norte,1882,433,1717,82
Norte,1399,391,2016,51
Norte,1608,893,2337,96
Este,2795,1111,1605,82
Norte,2575,469,3686,133
Oeste,3148,1242,2048,100
Este,2382,1982,2357,67
Sur,2403,1416,4426,137
Norte,1819,355,3095,79
Este,1123,751,2801,102
Norte,1421,918,3146,59
Sur,2508,586,2482,136
Este,2597,1185,2546,101
Norte,1767,1484,2620,98
Este,3044,255,3452,60
Norte,3202,545,3950,139
Sur,3139,1452,3550,85
Norte,2764,1813,3941,62
Norte,3044,1624,2599,89
Norte,1509,553,3891,117
Sur,2206,1095,3168,91
Norte,1385,262,1809,68
Este,2597,359,1977,131
Norte,3452,710,3101,143
Norte,3293,802,4066,68
Oeste,1741,321,2354,107
Norte,2911,987,2778,129
Oeste,2446,1275,2553,114
Sur,3112,492,2012,73
Este,3009,816,2881,102
Oeste,1241,303,3703,57
Sur,3385,1026,1952,106
Sur,3020,1724,2387,54
Este,1464,554,3351,62
Este,1496,834,3345,132
Norte,1702,485,2356,139
Sur,2940,1184,2923,107
Oeste,3355,202,4046,125
Norte,2791,1708,2781,51
Sur,1182,966,3689,124
Norte,1545,1906,3330,135
Oeste,2587,1264,1590,125
Este,1623,1802,3119,51
Este,1593,612,4334,56
Este,1743,1877,3750,75
Este,2768,1154,2902,139
Norte,2459,538,2910,137
Norte,2948,944,1574,125
Sur,3068,1267,1891,72
Oeste,1016,1271,2086,62
Sur,1571,1451,2827,101
Sur,3076,216,4028,126
Sur,2120,558,1519,90
Este,1241,1711,2860,102
Este,1788,1666,1719,64
Este,1714,1491,3851,56
Sur,1758,812,3843,89
Norte,1775,526,2884,81
Este,1078,311,1925,134
Sur,2439,1588,1969,60
Norte,3496,1648,3028,110
Norte,3134,610,4251,86
Norte,3148,1149,4195,72
Oeste,2031,1953,2404,142
Sur,1844,224,4364,134
Oeste,1086,158,3844,140
Oeste,1147,1012,2459,143
Sur,2950,1173,1617,129
Sur,1365,1617,4092,80
Sur,1435,1201,3212,74
Norte,1398,1525,3074,93
Sur,2234,1987,4382,61
Este,2414,418,4059,139
Este,1562,1957,3328,58
Este,3489,1492,1837,61
Este,2284,537,1830,118
Norte,1772,127,2187,103
Este,3037,1874,3965,77
Este,2343,723,1783,148
Este,3185,750,4217,118
Sur,2573,808,4012,147
Oeste,1991,1973,1949,147
Oeste,2246,1388,4101,107
Oeste,1920,1924,2810,124
Oeste,1962,1241,4498,102
Este,2827,388,1829,82
Norte,2613,1526,3268,105
Oeste,2640,332,2891,121
Sur,3216,1409,3581,100
Norte,1216,439,1691,123
Sur,1377,1049,2390,92
Este,1118,574,1931,64
Este,1189,1313,1840,87
Norte,1369,1556,4058,54
Sur,2801,708,2938,142
Oeste,3196,765,2573,132
Sur,1651,1665,3629,103
Norte,2882,940,4187,100
Sur,2511,1628,3286,59
Norte,1769,1531,4406,61
Sur,3421,1162,3488,53
Norte,2716,1168,2032,67
Norte,3207,501,2311,129
Sur,2311,1224,4121,74
Norte,1522,1095,1915,147
Sur,1521,932,2878,85
Sur,1782,362,3685,116
Sur,2688,424,2977,67
Norte,1487,500,2859,92
Este,2850,1699,4036,84
Norte,1845,1857,4371,112
Sur,3171,1064,2825,147
Oeste,3461,1252,2833,53
Sur,3003,1283,3696,142
Este,2748,549,1617,90
Este,1685,513,2630,94
Oeste,3160,1913,3182,99
Norte,3169,162,2170,77
Oeste,2245,1199,3525,129
Norte,1038,1638,2182,125
Este,2256,1356,3488,50
Oeste,3196,1474,2212,145
Este,2927,1170,2362,66
Este,1301,566,2630,140
Oeste,3285,618,2204,137
Sur,1662,895,2857,95
Oeste,2759,167,2907,88
Este,3250,937,2161,139
Oeste,1597,1106,3241,111
Sur,1661,1391,3363,87
Sur,2368,1953,2887,71
Oeste,1769,775,4373,108
Este,1462,1523,1926,120
Este,3483,608,4178,136
Este,1282,1752,4159,51
Sur,2486,501,3176,98
Este,2430,338,1906,137
Este,1087,1214,1886,144
Norte,1460,1767,3051,89
Sur,3325,440,4398,97
Sur,3468,1664,2433,100
Este,1514,1476,3654,137
Norte,2653,1895,4296,139
Este,3066,1550,2371,129
Norte,1022,809,4039,106
Sur,2053,1102,1558,64
Este,2830,1865,2204,76
Norte,3155,387,3665,117
Norte,2304,880,3758,129
Este,2134,763,2409,113
Sur,3183,410,2641,143
Oeste,2899,267,2131,116
Norte,2284,1647,3578,135
Norte,1514,1742,3457,135
Norte,1448,251,4367,98
Oeste,2923,66,1817,125
Norte,2506,371,2194,104
Oeste,2247,567,4402,134
Sur,2855,1643,3540,105
Este,1873,1398,4266,117
Sur,3349,730,3537,80
Este,3278,1155,3842,107
Oeste,2754,1547,3928,136
Este,1922,1541,3229,102
Este,2036,1762,1655,72
Oeste,2416,1277,2921,77
Este,3281,827,2619,128
Sur,3256,257,2119,68
Oeste,2997,1587,4452,79
Sur,2037,1709,1777,94
Este,2778,215,1807,111
Oeste,2014,71,2760,85
Este,2093,203,1844,149
Norte,2124,1512,2015,133
Sur,1697,1368,2384,101
Norte,3179,268,2397,68
Norte,2404,718,1553,93
Norte,2155,1568,3350,56
Sur,2929,69,2269,117
Sur,2013,999,2260,115
Oeste,1821,645,3801,145
Sur,3023,1556,3410,91
Este,1870,416,2306,90
Sur,3452,1907,2576,126
Sur,3085,1382,3209,59
Oeste,2795,967,2497,140
Norte,2080,1207,4393,100
Este,1940,1792,3059,70
Este,3320,1356,2447,57
Oeste,1525,530,2881,127
Oeste,2078,1399,2887,134
Oeste,1161,557,4110,107
Oeste,2938,462,1577,111
Sur,1059,1138,2458,101
Sur,3258,315,4479,87
Oeste,1405,870,3037,92
Sur,1663,1152,1922,112
Este,2132,1388,2409,68
Sur,2099,711,2694,149
Norte,1541,996,1568,99
Sur,2337,609,2101,82
Este,1997,966,4265,62
Este,2140,940,4356,127
Sur,1867,1863,3571,111
Este,3066,917,3660,142
Norte,1431,659,4227,92
Oeste,1739,463,4411,98
Norte,2373,74,3172,85
Sur,1182,333,1870,59
Sur,2206,930,3964,55
Este,2169,1141,3669,50
Oeste,1830,1080,3893,120
Norte,2651,866,2892,107
Norte,2326,1723,2151,105
Sur,1970,1493,3361,136
Oeste,2141,1310,2173,103
Sur,2836,95,3039,74
Norte,1160,667,2477,77
Este,1197,1873,2708,70
Este,2283,311,2443,67
Oeste,1659,225,4093,96
Norte,2775,1239,3253,119
Este,2070,706,3686,106
Este,3010,891,3895,142
Norte,1398,419,2379,68
Sur,2582,103,3776,114
Oeste,3125,739,2119,52
Sur,3171,1492,3988,91
Oeste,1836,1200,3341,116
Norte,1499,1997,1662,104
Norte,2794,1678,2423,147
Este,1972,428,3746,134
Norte,2642,122,1964,105
Norte,3301,1995,3708,136
Norte,3028,964,4175,119
Este,2900,909,2485,136
Este,1546,1114,1709,68
Sur,1921,219,3443,132
Este,1580,261,1911,56
Norte,2372,1566,2360,112
Norte,2956,1753,4052,91
Oeste,3096,418,4213,108
Sur,1703,200,2734,122
Norte,3403,1553,2823,76
Este,1637,1120,2579,51
Sur,2009,1648,1680,111
Este,1640,1439,3542,68
Oeste,2851,110,3902,88
Norte,1187,995,1615,85
Oeste,2619,1012,3815,89
Este,2687,1903,2914,94
Norte,1984,1387,3253,53
Norte,1547,1234,1846,74
Sur,2431,387,2268,125
Este,1875,1679,4358,117
Norte,1617,1377,2378,137
Norte,3461,1576,1784,78
Este,1902,1623,2133,100
Sur,1162,688,3237,73
Sur,2974,324,1799,63
Sur,1269,1237,1935,118
Norte,1905,368,3298,91
Sur,2641,553,3338,132
Norte,1204,1759,2668,61
Sur,1581,436,4272,131
Este,2836,1064,2534,137
Oeste,2251,1961,4480,124
Norte,3297,740,2964,50
Sur,1874,543,1836,128
Norte,2464,539,1507,81
Este,3243,770,3778,58
Este,3010,558,3119,77
Norte,2422,1692,1640,109
Norte,1671,344,3987,135
Este,2171,1442,2878,76
Este,2495,845,1607,132
Sur,3246,1767,2958,69
Norte,2449,598,1565,114
Este,3189,617,3101,50
Este,2336,1260,2753,59
Este,1164,902,3575,96
Sur,3361,819,3658,108
Este,2105,1643,2581,111
Este,2753,412,2986,135
