Edad,Genero,Historial_Crediticio,Salario_Anual,Deuda
29,F,Bueno,25695.0,6967.0
51,F,Malo,115740.0,6661.0
50,F,Bueno,78499.0,12416.0
65,F,Bueno,43382.0,510.0
40,M,Bueno,34235.0,41382.0
41,M,Malo,82223.0,35200.0
54,M,Bueno,22366.0,1906.0
52,F,Bueno,47467.0,25534.0
61,F,Bueno,79316.0,48322.0
57,F,Regular,26764.0,16448.0
39,M,Bueno,110896.0,37696.0
44,F,Malo,81836.0,4710.0
52,F,Malo,51923.0,44308.0
18,M,Regular,,38892.0
52,F,Malo,36292.0,40605.0
54,M,Malo,21614.0,15583.0
64,M,Regular,40939.0,17184.0
31,F,Bueno,38800.0,24853.0
20,F,Regular,76440.0,6109.0
18,F,Bueno,43246.0,42677.0
22,M,Bueno,72805.0,6659.0
43,M,Malo,69648.0,1238.0
31,M,Regular,76851.0,15064.0
56,F,Malo,51688.0,31115.0
44,F,Malo,113498.0,31952.0
26,F,Bueno,49764.0,5620.0
32,F,Malo,52470.0,34254.0
32,M,Regular,58501.0,37449.0
43,M,Malo,77207.0,44258.0
59,M,Malo,82157.0,4470.0
30,M,Bueno,23216.0,22003.0
68,F,Regular,42072.0,27571.0
49,F,Malo,113778.0,24668.0
56,F,Bueno,,11723.0
66,M,Malo,37861.0,46656.0
69,M,Regular,84186.0,31040.0
49,F,Malo,24960.0,39945.0
21,F,Malo,38781.0,45969.0
47,M,Bueno,51126.0,32046.0
54,F,Malo,42578.0,5441.0
40,M,Bueno,37883.0,11719.0
56,M,Regular,49782.0,5397.0
62,M,Malo,76387.0,34389.0
32,F,Regular,36979.0,17945.0
60,F,Regular,53746.0,22233.0
46,M,Malo,86266.0,
53,F,Bueno,20056.0,4190.0
30,M,Regular,51457.0,37822.0
49,M,Regular,22243.0,1130.0
24,M,Malo,75031.0,14071.0
68,M,Malo,21701.0,19981.0
39,F,Malo,76381.0,44704.0
45,M,Malo,70438.0,2118.0
19,M,Malo,93839.0,663.0
59,F,Malo,100636.0,15735.0
62,M,Bueno,86483.0,
23,M,Regular,40505.0,31087.0
45,F,Bueno,26553.0,22578.0
45,F,Bueno,53525.0,19874.0
61,F,Malo,100402.0,42531.0
61,M,Regular,116008.0,17907.0
37,F,Bueno,64348.0,40821.0
47,F,Malo,91187.0,22787.0
28,M,Malo,27273.0,21705.0
45,M,Regular,84236.0,
42,M,Bueno,95569.0,46264.0
56,M,Bueno,23535.0,39069.0
50,M,Bueno,38677.0,44653.0
18,F,Malo,103024.0,
44,F,Regular,20908.0,35056.0
69,F,Regular,90153.0,26090.0
30,M,Bueno,,
58,M,Malo,108989.0,32252.0
20,M,Bueno,55079.0,7796.0
56,F,Regular,101556.0,7263.0
23,F,Malo,69323.0,12777.0
25,M,Bueno,65320.0,41538.0
44,F,Bueno,112098.0,20343.0
26,M,Malo,109909.0,40153.0
54,F,Regular,66105.0,14862.0
50,F,Malo,,41232.0
68,F,Bueno,21885.0,37649.0
59,M,Bueno,77819.0,48786.0
61,F,Bueno,21049.0,15691.0
41,F,Bueno,73281.0,25028.0
32,M,Regular,63271.0,42135.0
49,F,Regular,86697.0,31066.0
49,M,Bueno,86351.0,33181.0
41,M,Regular,56534.0,17934.0
58,M,Regular,113034.0,20910.0
69,M,Regular,78097.0,47482.0
66,M,Bueno,73813.0,7141.0
66,F,Malo,45037.0,45950.0
69,M,Malo,56007.0,16225.0
29,M,Malo,99478.0,34714.0
56,M,Bueno,47278.0,21587.0
19,M,Regular,28272.0,32959.0
20,F,Regular,77183.0,49192.0
66,M,Bueno,119173.0,14175.0
54,F,Bueno,58294.0,10051.0
66,M,Malo,93277.0,5892.0
34,F,Malo,82509.0,3449.0
66,M,Bueno,24694.0,41095.0
19,M,Malo,115842.0,38677.0
19,F,Regular,78150.0,12393.0
45,M,Bueno,87470.0,29190.0
40,F,Bueno,41556.0,34709.0
54,M,Regular,84471.0,31533.0
49,F,Regular,69855.0,26141.0
50,M,Regular,69086.0,36989.0
18,M,Malo,,23908.0
36,F,Bueno,91695.0,39311.0
19,M,Malo,68487.0,32322.0
61,M,Regular,49158.0,14012.0
43,M,Malo,40293.0,34889.0
49,M,Regular,65761.0,17412.0
23,M,Malo,119468.0,30614.0
49,M,Malo,53387.0,44494.0
21,F,Regular,60750.0,24657.0
28,F,Malo,88602.0,5656.0
34,F,Bueno,41256.0,8967.0
55,M,Malo,25594.0,19422.0
41,F,Malo,22460.0,15764.0
22,M,Bueno,92356.0,15873.0
69,M,Regular,74698.0,28949.0
51,M,Bueno,36191.0,43847.0
23,M,Malo,104631.0,2271.0
39,F,Regular,30529.0,1607.0
28,M,Malo,52175.0,19523.0
65,F,Malo,37675.0,48447.0
33,M,Bueno,63158.0,49757.0
50,F,Bueno,66798.0,27990.0
26,F,Regular,90910.0,3665.0
23,F,Regular,45976.0,16308.0
33,F,Regular,83116.0,5852.0
46,F,Malo,98678.0,5462.0
20,F,Bueno,82821.0,31795.0
37,M,Bueno,32204.0,4270.0
53,F,Bueno,75665.0,48465.0
36,M,Regular,27394.0,24491.0
43,F,Bueno,84814.0,36230.0
20,M,Bueno,53593.0,48242.0
36,F,Bueno,61964.0,347.0
37,F,Regular,97188.0,49152.0
49,M,Bueno,119276.0,32830.0
24,F,Regular,73365.0,1783.0
69,F,Bueno,20443.0,28390.0
58,F,Bueno,,8417.0
50,M,Bueno,119058.0,6566.0
57,F,Regular,48180.0,17426.0
56,M,Regular,68791.0,30750.0
35,F,Bueno,106655.0,10872.0
57,F,Malo,95899.0,28695.0
18,M,Regular,63665.0,48086.0
28,F,Regular,117077.0,1234.0
45,F,Bueno,23465.0,34752.0
42,M,Malo,88247.0,28832.0
67,F,Bueno,71559.0,17978.0
40,M,Regular,45198.0,22641.0
48,M,Regular,74740.0,27127.0
47,M,Bueno,42488.0,34720.0
59,F,Bueno,58515.0,18079.0
52,M,Malo,109144.0,17338.0
24,M,Malo,47898.0,3291.0
33,F,Regular,21919.0,
43,M,Malo,70070.0,47272.0
65,F,Malo,82613.0,44555.0
69,F,Regular,116707.0,33736.0
66,F,Regular,106135.0,49393.0
19,F,Regular,102501.0,28022.0
18,M,Regular,67003.0,4234.0
65,M,Bueno,68478.0,26720.0
29,M,Regular,34434.0,41106.0
22,M,Regular,66246.0,40117.0
54,M,Regular,56649.0,13368.0
49,F,Malo,79030.0,47969.0
26,M,Regular,73061.0,48838.0
58,M,Bueno,21999.0,8734.0
52,M,Bueno,34849.0,41651.0
36,F,Regular,96439.0,33793.0
65,F,Bueno,72800.0,12197.0
33,M,Malo,,3359.0
20,F,Regular,38040.0,38025.0
37,M,Bueno,84315.0,35719.0
41,M,Bueno,20246.0,7389.0
50,F,Regular,,
41,F,Bueno,25212.0,14952.0
69,M,Regular,23339.0,29075.0
28,M,Bueno,108678.0,18939.0
66,F,Malo,76238.0,46995.0
25,M,Bueno,39394.0,15624.0
53,F,Bueno,73871.0,1735.0
55,M,Regular,97722.0,24315.0
57,F,Bueno,54607.0,17422.0
37,M,Regular,72055.0,39137.0
52,M,Malo,24395.0,7127.0
65,F,Regular,35290.0,35680.0
42,M,Regular,107687.0,48232.0
52,M,Bueno,,12606.0
42,F,Malo,,32743.0
46,M,Regular,27470.0,34010.0
35,M,Bueno,23841.0,15636.0
63,M,Bueno,83197.0,25348.0
35,F,Regular,75773.0,10108.0
19,F,Bueno,37776.0,8098.0
52,F,Regular,91596.0,36180.0
33,M,Regular,47584.0,18883.0
58,M,Regular,24300.0,44400.0
53,M,Malo,23338.0,45999.0
50,M,Regular,82601.0,47951.0
21,F,Bueno,25487.0,7160.0
50,M,Malo,56282.0,19929.0
31,M,Bueno,115065.0,17597.0
38,M,Malo,115798.0,11123.0
65,F,Malo,96816.0,49570.0
37,M,Malo,48804.0,28357.0
25,M,Malo,29915.0,4960.0
24,M,Bueno,31158.0,33556.0
20,M,Regular,94157.0,18255.0
34,M,Bueno,30547.0,13350.0
50,F,Regular,,30881.0
65,M,Bueno,22459.0,18409.0
29,M,Malo,48768.0,32635.0
68,M,Malo,83146.0,2446.0
39,M,Regular,70870.0,30657.0
39,M,Regular,70460.0,21207.0
63,M,Bueno,102970.0,48951.0
47,M,Regular,80817.0,8752.0
55,M,Bueno,58247.0,13440.0
55,M,Regular,35419.0,44864.0
62,M,Regular,55577.0,49691.0
68,F,Regular,22921.0,6499.0
25,F,Malo,24676.0,21139.0
44,F,Malo,105961.0,14767.0
44,F,Bueno,69684.0,22343.0
51,M,Regular,33463.0,27712.0
38,F,Bueno,45474.0,19673.0
47,F,Regular,60935.0,29488.0
50,M,Malo,87005.0,26520.0
45,F,Malo,78596.0,44105.0
64,F,Regular,92828.0,48587.0
50,M,Regular,110945.0,
22,M,Malo,109062.0,38079.0
65,M,Malo,75152.0,44220.0
36,F,Bueno,109001.0,20491.0
21,F,Malo,116491.0,47342.0
52,M,Regular,112321.0,48720.0
66,M,Bueno,106569.0,35268.0
34,F,Regular,92467.0,14718.0
61,M,Bueno,72576.0,35597.0
45,F,Regular,86627.0,
47,M,Malo,45772.0,35132.0
46,M,Regular,36363.0,26832.0
63,F,Bueno,48490.0,31862.0
23,M,Regular,79004.0,12864.0
52,M,Bueno,73806.0,22842.0
58,M,Regular,20260.0,8177.0
54,F,Malo,95992.0,46115.0
41,M,Malo,42320.0,40699.0
46,M,Regular,98971.0,45609.0
66,M,Regular,62145.0,
63,M,Regular,83688.0,8594.0
48,M,Bueno,68581.0,13418.0
52,M,Regular,112561.0,34854.0
50,F,Regular,113645.0,23108.0
69,F,Bueno,40754.0,10419.0
38,M,Malo,89837.0,22539.0
49,F,Regular,27207.0,44370.0
40,F,Regular,47920.0,43950.0
50,M,Malo,107739.0,12835.0
20,F,Malo,107081.0,17533.0
35,F,Bueno,44016.0,49214.0
42,F,Regular,116634.0,29515.0
59,F,Regular,80522.0,35921.0
48,F,Bueno,94092.0,41968.0
20,F,Malo,74068.0,22322.0
57,F,Bueno,40102.0,10223.0
63,F,Malo,21924.0,10273.0
41,M,Bueno,105015.0,33519.0
67,M,Malo,74333.0,24160.0
49,F,Bueno,104458.0,8849.0
64,F,Malo,104196.0,49852.0
39,M,Malo,66099.0,25656.0
40,F,Malo,77346.0,48988.0
19,F,Malo,95481.0,10348.0
44,M,Malo,70062.0,
59,M,Regular,20306.0,38935.0
19,M,Malo,108495.0,39132.0
43,F,Regular,89767.0,1983.0
34,F,Malo,32207.0,24890.0
57,M,Regular,59426.0,14629.0
50,M,Regular,26336.0,49056.0
26,F,Bueno,95166.0,11273.0
60,M,Malo,37256.0,31739.0
65,F,Bueno,119445.0,40416.0
56,F,Bueno,69817.0,7894.0
46,M,Malo,53719.0,46073.0
59,M,Bueno,62017.0,45693.0
43,F,Malo,65704.0,24343.0
52,M,Bueno,50013.0,43095.0
67,M,Malo,99991.0,31174.0
42,M,Malo,90258.0,44179.0
41,M,Malo,98348.0,6900.0
30,F,Regular,,48905.0
24,F,Bueno,56776.0,3800.0
53,F,Regular,30060.0,35246.0
62,F,Bueno,98592.0,42735.0
37,M,Bueno,26655.0,42926.0
18,M,Bueno,108110.0,7054.0
25,F,Regular,69923.0,38827.0
63,F,Bueno,98563.0,42727.0
33,M,Regular,24030.0,44775.0
31,F,Malo,109779.0,41201.0
29,F,Bueno,53289.0,29373.0
68,M,Bueno,,27525.0
40,F,Malo,119704.0,38977.0
32,M,Malo,81687.0,7115.0
45,M,Bueno,56491.0,31107.0
51,F,Malo,115549.0,30486.0
19,M,Regular,92115.0,13068.0
49,F,Regular,103778.0,18640.0
40,M,Bueno,24781.0,32158.0
39,F,Regular,40448.0,36136.0
68,F,Regular,71550.0,16128.0
42,F,Bueno,69294.0,24942.0
39,M,Malo,41446.0,2827.0
39,M,Bueno,96579.0,15990.0
66,F,Regular,105389.0,35255.0
69,M,Bueno,105615.0,19987.0
59,F,Bueno,37101.0,46115.0
23,F,Regular,86178.0,20901.0
32,M,Regular,48016.0,16277.0
60,F,Bueno,38932.0,1643.0
54,M,Regular,64653.0,23729.0
50,F,Regular,110481.0,21087.0
25,M,Regular,72802.0,21818.0
61,F,Regular,27549.0,19.0
61,F,Regular,98933.0,33443.0
22,M,Regular,45362.0,49760.0
56,F,Malo,67842.0,49213.0
21,F,Bueno,66539.0,9457.0
23,M,Regular,53717.0,33922.0
62,F,Bueno,74596.0,9820.0
49,M,Malo,43016.0,32750.0
69,F,Regular,75200.0,42586.0
47,M,Bueno,100268.0,36484.0
64,F,Regular,80287.0,38010.0
52,F,Regular,112447.0,37790.0
57,F,Regular,103402.0,22869.0
69,M,Regular,,34421.0
33,M,Regular,47621.0,2502.0
30,M,Regular,32823.0,16665.0
67,M,Regular,49986.0,25600.0
59,F,Malo,84325.0,29394.0
47,F,Malo,77771.0,14086.0
36,M,Regular,74973.0,36171.0
34,M,Regular,34690.0,34003.0
36,M,Malo,59107.0,13149.0
45,F,Malo,77888.0,30394.0
43,M,Malo,30956.0,14396.0
54,M,Regular,106839.0,23324.0
43,F,Bueno,76227.0,47198.0
40,F,Bueno,56533.0,17169.0
26,M,Bueno,115210.0,46632.0
29,F,Bueno,76234.0,
18,M,Regular,87594.0,44277.0
18,F,Bueno,76901.0,26243.0
64,M,Malo,31519.0,31016.0
51,M,Malo,51115.0,3194.0
49,M,Bueno,86266.0,32398.0
65,M,Malo,21832.0,
42,F,Regular,61368.0,20159.0
57,F,Bueno,108425.0,43406.0
62,F,Bueno,89715.0,5350.0
18,F,Regular,91835.0,33301.0
33,M,Malo,93366.0,24977.0
56,M,Regular,57570.0,36431.0
22,F,Regular,107977.0,129.0
39,F,Malo,26615.0,45331.0
46,F,Regular,92298.0,34626.0
20,F,Malo,58311.0,48503.0
29,F,Malo,110245.0,27549.0
43,M,Regular,43434.0,12342.0
33,M,Malo,106879.0,36417.0
68,M,Regular,35739.0,10978.0
54,F,Malo,86202.0,37628.0
39,F,Bueno,118580.0,42180.0
46,F,Malo,113419.0,8833.0
31,F,Malo,99599.0,46903.0
45,M,Regular,53649.0,33491.0
22,M,Malo,67445.0,29473.0
64,F,Bueno,59470.0,737.0
66,M,Bueno,94965.0,29429.0
47,M,Malo,68621.0,46647.0
63,F,Malo,52926.0,1299.0
69,F,Bueno,57997.0,339.0
22,F,Regular,79940.0,32920.0
29,F,Bueno,60724.0,42381.0
33,F,Bueno,117805.0,46523.0
43,F,Malo,51704.0,48750.0
43,M,Malo,48391.0,19435.0
65,M,Bueno,83291.0,33194.0
38,F,Regular,109723.0,24509.0
56,M,Bueno,22526.0,42095.0
53,F,Bueno,44686.0,44289.0
50,F,Regular,93339.0,1373.0
47,F,Bueno,118204.0,7082.0
54,F,Bueno,26574.0,25532.0
40,M,Malo,28733.0,42661.0
27,F,Regular,70290.0,18866.0
22,M,Malo,92793.0,7593.0
53,F,Malo,56051.0,9495.0
51,F,Regular,35909.0,49522.0
69,F,Regular,109682.0,7837.0
48,M,Bueno,97338.0,11172.0
27,F,Malo,93432.0,18680.0
36,F,Regular,48133.0,30346.0
49,F,Malo,71571.0,43085.0
18,M,Malo,99062.0,23412.0
22,M,Regular,70908.0,22863.0
62,M,Bueno,31278.0,30804.0
21,F,Malo,71458.0,10934.0
33,M,Regular,84265.0,30723.0
41,F,Bueno,76782.0,20405.0
33,M,Malo,75415.0,
19,M,Regular,111087.0,5230.0
66,F,Malo,74160.0,46413.0
45,M,Regular,74399.0,22354.0
49,F,Regular,45298.0,8954.0
44,F,Malo,42191.0,23139.0
37,M,Malo,76964.0,45022.0
41,F,Regular,53092.0,17388.0
29,F,Bueno,109407.0,39825.0
67,M,Malo,95257.0,36523.0
52,M,Regular,82513.0,35614.0
50,F,Regular,71097.0,35732.0
50,M,Bueno,50279.0,41646.0
68,F,Bueno,34404.0,21021.0
60,F,Bueno,90022.0,27702.0
54,M,Malo,55198.0,
29,M,Regular,114223.0,35523.0
20,M,Regular,69997.0,19116.0
18,M,Regular,98692.0,6473.0
50,F,Bueno,20567.0,47322.0
57,F,Regular,81032.0,22735.0
27,M,Malo,22179.0,34461.0
60,M,Bueno,22019.0,11084.0
61,F,Bueno,101455.0,44771.0
46,F,Bueno,105239.0,
30,F,Bueno,38704.0,17068.0
29,F,Malo,38030.0,28916.0
48,M,Regular,89445.0,2919.0
63,F,Malo,93551.0,23550.0
19,F,Regular,23420.0,36524.0
68,M,Malo,79875.0,3283.0
67,F,Bueno,67653.0,4691.0
52,F,Bueno,36740.0,23212.0
40,M,Malo,85263.0,40118.0
34,M,Malo,115864.0,28602.0
43,M,Regular,84559.0,17540.0
25,F,Malo,39465.0,35829.0
46,F,Malo,71432.0,5919.0
43,M,Regular,24131.0,22277.0
27,M,Regular,30652.0,17676.0
43,F,Regular,84973.0,42844.0
51,M,Malo,107043.0,
68,M,Regular,67147.0,16012.0
58,M,Bueno,67671.0,9175.0
24,F,Bueno,109342.0,40670.0
21,F,Bueno,39171.0,2067.0
67,F,Malo,106129.0,31478.0
62,F,Bueno,75692.0,26439.0
28,F,Malo,78541.0,34747.0
46,F,Malo,29470.0,29810.0
53,M,Bueno,81344.0,18302.0
42,F,Regular,64308.0,700.0
38,F,Malo,70639.0,36814.0
53,M,Bueno,41326.0,34841.0
27,F,Malo,24597.0,44713.0
54,F,Regular,50788.0,49546.0
26,M,Regular,85020.0,3048.0
41,M,Bueno,69477.0,33290.0
52,M,Malo,53071.0,11101.0
66,F,Malo,90603.0,29778.0
52,M,Malo,81923.0,
65,F,Malo,90560.0,41509.0
53,F,Bueno,93251.0,17852.0
35,F,Regular,77492.0,24500.0
66,F,Bueno,51770.0,12674.0
56,M,Malo,96762.0,23195.0
49,M,Malo,55399.0,24371.0
41,F,Regular,98948.0,33053.0
40,M,Malo,77439.0,11957.0
49,F,Bueno,64415.0,7108.0
54,F,Bueno,32569.0,47758.0
29,F,Regular,22369.0,17829.0
66,M,Bueno,117557.0,5837.0
30,F,Bueno,20528.0,15032.0
40,F,Bueno,50314.0,34234.0
42,M,Bueno,38047.0,26352.0
52,M,Malo,39748.0,30215.0
58,M,Bueno,55109.0,9106.0
47,M,Regular,33919.0,41247.0
34,F,Regular,67498.0,28766.0
66,M,Bueno,75808.0,43048.0
37,F,Regular,100792.0,38700.0
65,M,Bueno,90441.0,9996.0
42,M,Regular,94420.0,1178.0
39,M,Regular,48906.0,35319.0
30,M,Bueno,91486.0,16025.0
36,M,Bueno,86896.0,9780.0
66,M,Malo,41946.0,22706.0
53,F,Bueno,67020.0,42916.0
29,M,Bueno,94266.0,9967.0
58,M,Malo,42161.0,30856.0
36,M,Bueno,47738.0,
29,M,Bueno,23925.0,9179.0
26,F,Malo,28463.0,38623.0
24,M,Bueno,77153.0,17587.0
45,M,Bueno,102948.0,23733.0
31,M,Malo,81009.0,22770.0
48,M,Malo,107938.0,33887.0
69,F,Regular,119546.0,3975.0
36,M,Bueno,111253.0,12919.0
64,F,Regular,61552.0,9602.0
33,M,Regular,76271.0,45463.0
22,F,Malo,29797.0,34060.0
52,F,Bueno,106130.0,42154.0
29,M,Bueno,91942.0,10140.0
42,M,Malo,33965.0,21170.0
69,F,Regular,33733.0,28830.0
38,F,Malo,73223.0,44540.0
53,M,Bueno,46926.0,6590.0
40,F,Malo,48783.0,46745.0
33,F,Bueno,,30609.0
56,F,Regular,56394.0,17401.0
62,M,Bueno,84796.0,27729.0
59,F,Regular,48287.0,37944.0
56,F,Regular,102104.0,45167.0
31,F,Bueno,50436.0,28645.0
48,M,Bueno,106916.0,29047.0
22,M,Regular,110332.0,22560.0
52,F,Malo,93567.0,6647.0
40,M,Bueno,107483.0,21106.0
46,F,Regular,23188.0,6015.0
60,M,Regular,111205.0,21506.0
28,M,Malo,117349.0,48613.0
35,F,Bueno,,24067.0
64,M,Regular,71626.0,2056.0
29,M,Malo,108707.0,31719.0
26,M,Regular,30807.0,29328.0
27,F,Bueno,,12176.0
61,M,Malo,112602.0,42771.0
34,M,Regular,77944.0,31885.0
55,F,Malo,62120.0,21269.0
24,M,Bueno,42658.0,46515.0
63,M,Malo,57081.0,3114.0
30,M,Bueno,54986.0,13442.0
57,M,Regular,99322.0,40151.0
59,M,Bueno,114819.0,1629.0
26,F,Regular,70304.0,17927.0
67,F,Regular,85592.0,31317.0
44,M,Bueno,78548.0,23896.0
19,M,Regular,118447.0,28155.0
22,M,Malo,59986.0,18288.0
46,F,Regular,94095.0,21415.0
54,F,Bueno,111594.0,36085.0
55,M,Malo,108281.0,11251.0
36,M,Malo,86151.0,36884.0
25,F,Regular,93598.0,25574.0
65,M,Regular,,9623.0
62,F,Bueno,58745.0,20936.0
18,F,Malo,62548.0,6123.0
39,M,Bueno,30681.0,3061.0
69,F,Regular,26984.0,40857.0
34,M,Malo,47579.0,36499.0
24,M,Bueno,110810.0,39095.0
42,M,Bueno,74933.0,28451.0
62,M,Bueno,47399.0,16361.0
21,M,Bueno,51481.0,15907.0
53,M,Bueno,20944.0,34814.0
23,F,Malo,113993.0,19605.0
48,F,Bueno,29114.0,32256.0
36,F,Malo,59846.0,11332.0
61,F,Bueno,103666.0,37832.0
56,M,Regular,97848.0,29476.0
44,F,Regular,52596.0,9445.0
27,F,Bueno,95287.0,33490.0
43,F,Regular,26907.0,29767.0
36,M,Malo,48114.0,46057.0
56,F,Bueno,45009.0,15210.0
20,M,Malo,104846.0,24159.0
62,F,Bueno,70241.0,7564.0
30,M,Regular,55725.0,41043.0
67,M,Malo,38996.0,21219.0
45,F,Regular,26047.0,27946.0
37,M,Regular,48767.0,36587.0
45,M,Bueno,36347.0,3364.0
25,F,Malo,44102.0,4318.0
58,F,Regular,24263.0,11479.0
56,F,Bueno,87438.0,7398.0
18,M,Bueno,,2452.0
20,M,Bueno,50540.0,21672.0
30,M,Regular,95726.0,33193.0
45,F,Bueno,83769.0,13865.0
66,M,Malo,60843.0,25345.0
42,M,Malo,47690.0,
50,M,Regular,22994.0,20359.0
55,M,Malo,87546.0,8799.0
23,M,Bueno,27377.0,23053.0
61,M,Regular,98572.0,34892.0
62,M,Bueno,46467.0,17684.0
49,F,Regular,,5015.0
62,F,Regular,56978.0,31665.0
64,F,Bueno,67606.0,8657.0
38,M,Malo,101574.0,21951.0
33,M,Malo,118112.0,32063.0
38,F,Regular,93414.0,32743.0
28,M,Bueno,113145.0,26521.0
54,F,Bueno,69222.0,10731.0
53,M,Regular,68115.0,18744.0
52,M,Malo,109606.0,18423.0
36,F,Bueno,60647.0,49076.0
37,F,Malo,74607.0,17568.0
35,F,Malo,77410.0,47411.0
64,F,Regular,41996.0,3934.0
58,F,Regular,74921.0,11409.0
66,M,Malo,103697.0,31410.0
31,M,Bueno,66022.0,30808.0
32,M,Bueno,60148.0,8172.0
48,F,Regular,87764.0,27358.0
18,F,Malo,111901.0,777.0
20,F,Bueno,110724.0,19763.0
33,F,Bueno,28888.0,48673.0
40,F,Regular,108666.0,35186.0
28,F,Malo,59159.0,31170.0
29,M,Bueno,62197.0,20461.0
27,M,Regular,104326.0,45222.0
49,M,Bueno,110360.0,2439.0
33,M,Bueno,118941.0,7804.0
25,M,Bueno,44474.0,45791.0
55,F,Regular,37333.0,47594.0
29,F,Malo,56355.0,13212.0
41,F,Regular,,21653.0
45,F,Malo,93903.0,21971.0
25,F,Bueno,86258.0,1989.0
